Instrument,Last,Mean,Stdev,Z-Score
6M5Y-1Y5Y-2Y5Y,-0.1,-6.395,4.6487,1.3541
6M5Y-1Y5Y-3Y5Y,7.8,-6.585,9.4704,1.5189
6M5Y-1Y5Y-4Y5Y,8.9,-10.301,12.966,1.4809
6M5Y-1Y5Y-5Y5Y,6.4,-15.292,14.9666,1.4494
6M5Y-1Y5Y-7Y5Y,0.2,-25.875,18.2855,1.426
6M5Y-1Y5Y-10Y5Y,-5.5,-35.136,20.6898,1.4324
6M5Y-1Y5Y-15Y5Y,-18.5,-19.743,21.7343,0.0572
6M5Y-1Y5Y-20Y5Y,74.5,40.485,25.4777,1.3351
6M5Y-1Y5Y-30Y5Y,125.4,108.027,14.8234,1.172
6M5Y-2Y5Y-3Y5Y,-37.4,-31.007,7.0398,-0.9081
6M5Y-2Y5Y-4Y5Y,-36.3,-34.723,5.516,-0.2859
6M5Y-2Y5Y-5Y5Y,-38.8,-39.714,5.5321,0.1652
6M5Y-2Y5Y-7Y5Y,-45.0,-50.297,6.3943,0.8284
6M5Y-2Y5Y-10Y5Y,-50.7,-59.558,8.2629,1.072
6M5Y-2Y5Y-15Y5Y,-63.7,-44.165,15.4229,-1.2666
6M5Y-2Y5Y-20Y5Y,29.3,16.063,13.1066,1.0099
6M5Y-2Y5Y-30Y5Y,80.2,83.605,7.1065,-0.4791
6M5Y-3Y5Y-4Y5Y,-52.1,-34.343,12.535,-1.4166
6M5Y-3Y5Y-5Y5Y,-54.6,-39.334,10.8967,-1.401
6M5Y-3Y5Y-7Y5Y,-60.8,-49.917,8.3962,-1.2962
6M5Y-3Y5Y-10Y5Y,-66.5,-59.178,7.6972,-0.9513
6M5Y-3Y5Y-15Y5Y,-79.5,-43.785,17.0609,-2.0934
6M5Y-3Y5Y-20Y5Y,13.5,16.443,8.4717,-0.3474
6M5Y-3Y5Y-30Y5Y,64.4,83.985,12.6719,-1.5455
6M5Y-4Y5Y-5Y5Y,-56.8,-31.902,17.0594,-1.4595
6M5Y-4Y5Y-7Y5Y,-63.0,-42.485,14.1194,-1.453
6M5Y-4Y5Y-10Y5Y,-68.7,-51.746,12.6915,-1.3359
6M5Y-4Y5Y-15Y5Y,-81.7,-36.353,20.4859,-2.2136
6M5Y-4Y5Y-20Y5Y,11.3,23.875,10.24,-1.228
6M5Y-4Y5Y-30Y5Y,62.2,91.417,18.5753,-1.5729
6M5Y-5Y5Y-7Y5Y,-58.0,-32.503,17.7797,-1.434
6M5Y-5Y5Y-10Y5Y,-63.7,-41.764,16.2064,-1.3535
6M5Y-5Y5Y-15Y5Y,-76.7,-26.371,23.1315,-2.1758
6M5Y-5Y5Y-20Y5Y,16.3,33.857,13.0108,-1.3494
6M5Y-5Y5Y-30Y5Y,67.2,101.399,22.2225,-1.5389
6M5Y-7Y5Y-10Y5Y,-51.3,-20.598,22.1746,-1.3846
6M5Y-7Y5Y-15Y5Y,-64.3,-5.205,28.7262,-2.0572
6M5Y-7Y5Y-20Y5Y,28.7,55.023,18.4766,-1.4247
6M5Y-7Y5Y-30Y5Y,79.6,122.565,28.422,-1.5117
6M5Y-10Y5Y-15Y5Y,-52.9,13.317,33.2099,-1.9939
6M5Y-10Y5Y-20Y5Y,40.1,73.545,22.7863,-1.4678
6M5Y-10Y5Y-30Y5Y,91.0,141.087,32.9357,-1.5208
6M5Y-15Y5Y-20Y5Y,66.1,42.759,27.3097,0.8547
6M5Y-15Y5Y-30Y5Y,117.0,110.301,34.3303,0.1951
6M5Y-20Y5Y-30Y5Y,-69.0,-10.155,41.8248,-1.4069
1Y5Y-2Y5Y-3Y5Y,-14.7,-12.401,3.6226,-0.6346
1Y5Y-2Y5Y-4Y5Y,-13.6,-16.117,3.3879,0.7429
1Y5Y-2Y5Y-5Y5Y,-16.1,-21.108,4.685,1.0689
1Y5Y-2Y5Y-7Y5Y,-22.3,-31.691,7.2181,1.301
1Y5Y-2Y5Y-10Y5Y,-28.0,-40.952,9.5982,1.3494
1Y5Y-2Y5Y-15Y5Y,-41.0,-25.559,14.813,-1.0424
1Y5Y-2Y5Y-20Y5Y,52.0,34.669,14.5586,1.1904
1Y5Y-2Y5Y-30Y5Y,102.9,102.211,5.7301,0.1202
1Y5Y-3Y5Y-4Y5Y,-29.4,-15.737,9.1771,-1.4888
1Y5Y-3Y5Y-5Y5Y,-31.9,-20.728,7.4915,-1.4913
1Y5Y-3Y5Y-7Y5Y,-38.1,-31.311,5.2679,-1.2887
1Y5Y-3Y5Y-10Y5Y,-43.8,-40.572,5.3979,-0.598
1Y5Y-3Y5Y-15Y5Y,-56.8,-25.179,14.7876,-2.1383
1Y5Y-3Y5Y-20Y5Y,36.2,35.049,7.6145,0.1512
1Y5Y-3Y5Y-30Y5Y,87.1,102.591,9.4313,-1.6425
1Y5Y-4Y5Y-5Y5Y,-34.1,-13.296,13.908,-1.4958
1Y5Y-4Y5Y-7Y5Y,-40.3,-23.879,11.0289,-1.4889
1Y5Y-4Y5Y-10Y5Y,-46.0,-33.14,9.7974,-1.3126
1Y5Y-4Y5Y-15Y5Y,-59.0,-17.747,17.6719,-2.3344
1Y5Y-4Y5Y-20Y5Y,34.0,42.481,7.4895,-1.1324
1Y5Y-4Y5Y-30Y5Y,84.9,110.023,15.4415,-1.627
1Y5Y-5Y5Y-7Y5Y,-35.3,-13.897,14.7585,-1.4502
1Y5Y-5Y5Y-10Y5Y,-41.0,-23.158,13.3033,-1.3412
1Y5Y-5Y5Y-15Y5Y,-54.0,-7.765,20.1769,-2.2915
1Y5Y-5Y5Y-20Y5Y,39.0,52.463,9.9966,-1.3468
1Y5Y-5Y5Y-30Y5Y,89.9,120.005,19.1481,-1.5722
1Y5Y-7Y5Y-10Y5Y,-28.6,-1.992,19.139,-1.3903
1Y5Y-7Y5Y-15Y5Y,-41.6,13.401,25.6416,-2.145
1Y5Y-7Y5Y-20Y5Y,51.4,73.629,15.2412,-1.4585
1Y5Y-7Y5Y-30Y5Y,102.3,141.171,25.3156,-1.5355
1Y5Y-10Y5Y-15Y5Y,-30.2,31.923,30.165,-2.0594
1Y5Y-10Y5Y-20Y5Y,62.8,92.151,19.6177,-1.4961
1Y5Y-10Y5Y-30Y5Y,113.7,159.693,29.8758,-1.5395
1Y5Y-15Y5Y-20Y5Y,88.8,61.365,26.3826,1.0399
1Y5Y-15Y5Y-30Y5Y,139.7,128.907,32.7254,0.3298
1Y5Y-20Y5Y-30Y5Y,-46.3,8.451,39.0445,-1.4023
2Y5Y-3Y5Y-4Y5Y,-6.8,-3.526,1.6052,-2.0396
2Y5Y-3Y5Y-5Y5Y,-9.3,-8.517,1.5269,-0.5128
2Y5Y-3Y5Y-7Y5Y,-15.5,-19.1,4.8988,0.7349
2Y5Y-3Y5Y-10Y5Y,-21.2,-28.361,7.6515,0.9359
2Y5Y-3Y5Y-15Y5Y,-34.2,-12.968,13.6177,-1.5591
2Y5Y-3Y5Y-20Y5Y,58.8,47.26,12.0896,0.9545
2Y5Y-3Y5Y-30Y5Y,109.7,114.802,4.8037,-1.0621
2Y5Y-4Y5Y-5Y5Y,-11.5,-1.085,6.4868,-1.6056
2Y5Y-4Y5Y-7Y5Y,-17.7,-11.668,4.508,-1.3381
2Y5Y-4Y5Y-10Y5Y,-23.4,-20.929,5.2757,-0.4684
2Y5Y-4Y5Y-15Y5Y,-36.4,-5.536,13.4722,-2.2909
2Y5Y-4Y5Y-20Y5Y,56.6,54.692,6.8342,0.2792
2Y5Y-4Y5Y-30Y5Y,107.5,122.234,8.6604,-1.7013
2Y5Y-5Y5Y-7Y5Y,-12.7,-1.686,7.7971,-1.4126
2Y5Y-5Y5Y-10Y5Y,-18.4,-10.947,7.2883,-1.0226
2Y5Y-5Y5Y-15Y5Y,-31.4,4.446,14.8529,-2.4134
2Y5Y-5Y5Y-20Y5Y,61.6,64.674,5.9028,-0.5208
2Y5Y-5Y5Y-30Y5Y,112.5,132.216,12.1454,-1.6233
2Y5Y-7Y5Y-10Y5Y,-6.0,10.219,11.9318,-1.3593
2Y5Y-7Y5Y-15Y5Y,-19.0,25.612,19.2593,-2.3164
2Y5Y-7Y5Y-20Y5Y,74.0,85.84,8.1932,-1.4451
2Y5Y-7Y5Y-30Y5Y,124.9,153.382,17.935,-1.5881
2Y5Y-10Y5Y-15Y5Y,-7.6,44.134,23.6016,-2.192
2Y5Y-10Y5Y-20Y5Y,85.4,104.362,12.3843,-1.5311
2Y5Y-10Y5Y-30Y5Y,136.3,171.904,22.5172,-1.5812
2Y5Y-15Y5Y-20Y5Y,111.4,73.576,24.2865,1.5574
2Y5Y-15Y5Y-30Y5Y,162.3,141.118,28.4727,0.7439
2Y5Y-20Y5Y-30Y5Y,-23.7,20.662,31.9593,-1.3881
3Y5Y-4Y5Y-5Y5Y,-3.6,-1.275,1.6358,-1.4213
3Y5Y-4Y5Y-7Y5Y,-9.8,-11.858,3.1908,0.645
3Y5Y-4Y5Y-10Y5Y,-15.5,-21.119,6.0837,0.9236
3Y5Y-4Y5Y-15Y5Y,-28.5,-5.726,12.6318,-1.8029
3Y5Y-4Y5Y-20Y5Y,64.5,54.502,10.0686,0.993
3Y5Y-4Y5Y-30Y5Y,115.4,122.044,4.9628,-1.3388
3Y5Y-5Y5Y-7Y5Y,-4.8,-1.876,3.4765,-0.8411
3Y5Y-5Y5Y-10Y5Y,-10.5,-11.137,4.8713,0.1308
3Y5Y-5Y5Y-15Y5Y,-23.5,4.256,12.6531,-2.1936
3Y5Y-5Y5Y-20Y5Y,69.5,64.484,7.1376,0.7028
3Y5Y-5Y5Y-30Y5Y,120.4,132.026,7.6531,-1.5191
3Y5Y-7Y5Y-10Y5Y,1.9,10.029,7.3792,-1.1016
3Y5Y-7Y5Y-15Y5Y,-11.1,25.422,15.8709,-2.3012
3Y5Y-7Y5Y-20Y5Y,81.9,85.65,4.9706,-0.7544
3Y5Y-7Y5Y-30Y5Y,132.8,153.192,13.1984,-1.545
3Y5Y-10Y5Y-15Y5Y,0.3,43.944,19.9841,-2.1839
3Y5Y-10Y5Y-20Y5Y,93.3,104.172,8.5036,-1.2785
3Y5Y-10Y5Y-30Y5Y,144.2,171.714,17.9143,-1.5359
3Y5Y-15Y5Y-20Y5Y,119.3,73.386,23.8958,1.9214
3Y5Y-15Y5Y-30Y5Y,170.2,140.928,26.2073,1.1169
3Y5Y-20Y5Y-30Y5Y,-15.8,20.472,27.282,-1.3295
4Y5Y-5Y5Y-7Y5Y,-3.7,-5.592,2.5564,0.7401
